P_ID,Name_Pestal,Date_Pestel,Headline_Pestel,Description_Pestel
2492,Economic growth,2016-04-22,Planet Business," The ‘Grand Mac’, the ‘tough phone’ market and why it’s good to be a data scientist   
            "
2493,Economic growth,2016-04-22,Rising swell of  apprehension as political drift  continues ," Bickering over the next government brings concerns that  lack of a deal could end badly   
            "
2494,Disposable income,2016-04-22,Planet Business," The ‘Grand Mac’, the ‘tough phone’ market and why it’s good to be a data scientist   
            "
2495,Political+stability,2016-04-25,Testing times ahead for nascent economic recovery," Economic growth is slowing again, with even  Germany seeing a recent string of poor data   
            "
2496,Economic growth,2016-04-25,Opportunity opens up for Janet Yellen to raise rates in coming months," Mario Draghi signaled last week that ECB policy is going on hold as officials wait to see how their stimulus measures play out   
            "
2497,Interest rates,2016-04-25,Opportunity opens up for Janet Yellen to raise rates in coming months," Mario Draghi signaled last week that ECB policy is going on hold as officials wait to see how their stimulus measures play out   
            "
2498,Inflation rates,2016-04-25,Opportunity opens up for Janet Yellen to raise rates in coming months," Mario Draghi signaled last week that ECB policy is going on hold as officials wait to see how their stimulus measures play out   
            "
2499,Unemployment rates,2016-04-25,Opportunity opens up for Janet Yellen to raise rates in coming months," Mario Draghi signaled last week that ECB policy is going on hold as officials wait to see how their stimulus measures play out   
            "
2500,Economic growth,2016-04-26,"North is the region most at risk from Brexit, says report "," Northern Ireland could lose access to more than €400m EU funding and support   
            "
2501,climate,2016-04-26,Paul Krugman: Who you gonna call when the market melts?," The economic climate is far from being a threat-free zone for the next US president   
            "
2502,government+policy,2016-04-27,Martin Wolf: Debunking 10 Brexit shibboleths," Those in favour of leaving offer fantasies of damage done by staying and of opportunity opened by departure    
            "
2503,foreign+trade+policy,2016-04-27,Whisper it: capital controls might be on the way back," If it were to happen, a decision by the Fed to tighten now would  look downright foolish   
            "
2504,foreign+trade+policy,2016-04-27,Philip Lane interview: edited transcript," Bank sees next recession driven by emerging markets   
            "
2505,Economic growth,2016-04-27,"Brexit would cost Britons a month’s salary by 2020, warns OECD"," Vote leave campaigners challenge assertion   
            "
2506,Economic growth,2016-04-27,Department warns of external economic threats as talks go on ,"   Ministers tell FG backbenchers deal with FF only prospect of saving Irish Water  
            "
2507,Economic growth,2016-04-28,Federal Reserve concerns for global economy ease ," US continues to watch  developments overseas as well as mixed indicators at home   
            "
2508,Interest rates,2016-04-28,Central Bank says it will not lower mortgage rates," Philip Lane says any legislation to curtail rates could deter potential market entrants    
            "
2509,Interest rates,2016-04-28,Federal Reserve concerns for global economy ease ," US continues to watch  developments overseas as well as mixed indicators at home   
            "
2510,Inflation rates,2016-04-28,Federal Reserve concerns for global economy ease ," US continues to watch  developments overseas as well as mixed indicators at home   
            "
2511,Economic growth,2016-04-29,"Euro zone economy accelerates, but prices fall more than expected"," Gross domestic product  in the euro zone up 0.6 per cent on a quarter-on-quarter basis    
            "
2512,Economic growth,2016-04-29,Politicians focus on water yet real threat is Brexit," Questions arise over  outlook for trade flows, the Border  and foreign direct investment   
            "
2513,Research+development,2016-04-29,Planet Business," The Dyson Supersonic, ‘accidental pirates’ and Warren Buffett’s 92-year-old sidekick   
            "
2514,government+policy,2016-05-03,Ireland to be EU’s fastest-growing economy in 2016," European Commission revises its growth forecast for Ireland upwards to  4.9%    
            "
2515,government+policy,2016-05-03,John FitzGerald: Ireland must protect  interests under Brexit," Anything that may  destabilise the Belfast Agreement would be a major concern    
            "
2516,Economic growth,2016-05-03,Ireland to be EU’s fastest-growing economy in 2016," European Commission revises its growth forecast for Ireland upwards to  4.9%    
            "
2517,climate,2016-05-03,John FitzGerald: Ireland must protect  interests under Brexit," Anything that may  destabilise the Belfast Agreement would be a major concern    
            "
2518,climate+change,2016-05-03,John FitzGerald: Ireland must protect  interests under Brexit," Anything that may  destabilise the Belfast Agreement would be a major concern    
            "
2519,government+policy,2016-05-04,Martin Wolf: Brexit will damage the UK," Referendum is not about sovereignty. It is about how best to exercise the country’s power. And that is best done in the EU   
            "
2520,Interest rates,2016-05-04,No USC abolition; more spending; pressure on banks . . . and another water quango," Cliff Taylor’s five key points from the FG/FF deal   
            "
2521,climate,2016-05-04,Martin Wolf: Brexit will damage the UK," Referendum is not about sovereignty. It is about how best to exercise the country’s power. And that is best done in the EU   
            "
2522,Interest rates,2016-05-05,State not to sell more than 25% of AIB by 2019," Draft programme for government also commits to court to deal with mortgage arrears   
            "
